Works,Author,Birth,Death,Period,Composed,When,Name,CutOff,Amour,Apprentissage,Argent,Armée,Art,Bonheur,Campagne,Camps,Capitalisme,Communisme,Cosaques,Délire-Folie,Dieu,Education,Ennui,Fantastique,Femme,Fonctionnaires,Guerre,Héros,Honneur,Humanisme,Humiliation,Hypocrisie,Individu,Intelligentsia,Jalousie,Jeu,Justice,Liberté,Mal,Marchands,Mariage,Médiocrité,Misère,Mort,Nation,Nature,Nihilisme,Noblesse,Occident,Orgueil,Paresse,Patrie,Paysans,Peuple,Province,Religion,Pouvoir,Responsabilité,Rêve,Révolte,Remords,Révolution,Russie,Servage,Socialisme,Société,Solitude,Souffrance,Traditions,Travail,Vagabondage,Ville,Violence
Souvenirs de la maison des morts,DOSTOÏEVSKI,1821,1881,[1850-1900[,1861,[1850-1905[,"grand XIXe siècle, réalisme, monde impérial tardif",<=1917,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Steppe,TCHEKHOV,1860,1904,[1900-1950[,1888,[1850-1905[,"grand XIXe siècle, réalisme, monde impérial tardif",<=1917,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tarass Boulba,GOGOL,1811,1852,[1850-1900[,1842,[1800-1850[,première moitié du XIXe siècle,<=1917,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tchelkach,GORKI,1818,1936,[1900-1950[,1895,[1850-1905[,"grand XIXe siècle, réalisme, monde impérial tardif",<=1917,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Terres défrichées,CHOLOKHOV,1905,1984,[1950-2000[,1932,[1917-1953[,"révolution, guerre civile, stalinisme",>1917,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terres vierges,TOURGUENIEV,1818,1883,[1850-1900[,1877,[1850-1905[,"grand XIXe siècle, réalisme, monde impérial tardif",<=1917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Thomas Gordéiev,GORKI,1818,1936,[1900-1950[,1899,[1850-1905[,"grand XIXe siècle, réalisme, monde impérial tardif",<=1917,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tout passe,GROSSMAN,1905,1964,[1950-2000[,1960,[1953-1991[,période soviétique post-stalinienne,>1917,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Le Trois, le sept et l'as",TENDRIAKOV,1923,1983,[1950-2000[,1960,[1953-1991[,période soviétique post-stalinienne,>1917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Les Trois sœurs,TCHEKHOV,1860,1904,[1900-1950[,1900,[1850-1905[,"grand XIXe siècle, réalisme, monde impérial tardif",<=1917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
